x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,year,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
20.45,44.816666999999995,Production,"antimony, mine",,,1974-01-01 00:00:00,Yugoslavia,,A,YU,Antimony,Normal value,YUG,"Antimony (mine production, metal production)",tonnes (metal content),20.450000,Ores and concentrates (metal content),,44.816667,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2208,,Mine production of antimony,821,2208,
33.526313,39.351717,Production,"antimony, mine",,,1974-01-01 00:00:00,Turkey,,A,TR,Antimony,Normal value,TUR,"Antimony (mine production, metal production)",tonnes (metal content),33.526313,Ores and concentrates (metal content),,39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2925,,Mine production of antimony,821,2925,
-3.562909,40.389544,Production,"antimony, mine",,,1974-01-01 00:00:00,Spain,,A,ES,Antimony,Normal value,ESP,"Antimony (mine production, metal production)",tonnes (metal content),-3.562909,Ores and concentrates (metal content),,40.389544,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,134,,Mine production of antimony,821,134,
82.51,55.51,Production,"antimony, mine",,Estimates.,1974-01-01 00:00:00,Soviet Union,,A,SU,Antimony,Normal value,SUN,"Antimony (mine production, metal production)",tonnes (metal content),82.510000,Ores and concentrates (metal content),,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,7500,,Mine production of antimony,821,7500,*
23.214465999999998,-30.457874999999998,Production,"antimony, mine",,,1974-01-01 00:00:00,South Africa,,A,ZA,Antimony,Normal value,ZAF,"Antimony (mine production, metal production)",tonnes (metal content),23.214466,Ores and concentrates (metal content),,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,15380,,Mine production of antimony,821,15380,
96.111983,21.798486,Production,"antimony, mine",,,1974-01-01 00:00:00,Myanmar,,A,MM,Antimony,Normal value,MMR,"Antimony (mine production, metal production)",tonnes (metal content),96.111983,Ores and concentrates (metal content),,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,166,,Mine production of antimony,821,166,
-101.933344,23.629557,Production,"antimony, mine",,Includes Sb content of antimonial lead.,1974-01-01 00:00:00,Mexico,,A,MX,Antimony,Normal value,MEX,"Antimony (mine production, metal production)",tonnes (metal content),-101.933344,Ores and concentrates (metal content),,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2407,,Mine production of antimony,821,2407,g
102.186548,4.029745,Production,"antimony, mine",,,1974-01-01 00:00:00,Malaysia,,A,MY,Antimony,Normal value,MYS,"Antimony (mine production, metal production)",tonnes (metal content),102.186548,Ores and concentrates (metal content),,4.029745,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,274,,Mine production of antimony,821,274,
-119.677633,59.205383999999995,Production,"antimony, mine",,Includes Sb content of antimonial lead alloys.,1974-01-01 00:00:00,Canada,,A,CA,Antimony,Normal value,CAN,"Antimony (mine production, metal production)",tonnes (metal content),-119.677633,Ores and concentrates (metal content),,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2500,,Mine production of antimony,821,2500,f
-64.684753,-16.706875999999998,Production,"antimony, mine",,,1974-01-01 00:00:00,Bolivia,,A,BO,Antimony,Normal value,BOL,"Antimony (mine production, metal production)",tonnes (metal content),-64.684753,Ores and concentrates (metal content),,-16.706876,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,11961,,Mine production of antimony,821,11961,
3.2078,27.468550999999998,Production,"antimony, mine",,Estimates.,1974-01-01 00:00:00,Algeria,,A,DZ,Antimony,Normal value,DZA,"Antimony (mine production, metal production)",tonnes (metal content),3.207800,Ores and concentrates (metal content),,27.468551,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,60,,Mine production of antimony,821,60,*
132.72135600000001,-23.137734,Production,"antimony, mine",,Including Sb content of lead and zinc concentrates.,1974-01-01 00:00:00,Australia,,A,AU,Antimony,Normal value,AUS,"Antimony (mine production, metal production)",tonnes (metal content),132.721356,Ores and concentrates (metal content),,-23.137734,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,1406,,Mine production of antimony,821,1406,d
-73.03382599999999,-13.197341,Production,"antimony, mine",,Including Sb content of antimonial lead plus Sb content of ores for export.,1974-01-01 00:00:00,Peru,,A,PE,Antimony,Normal value,PER,"Antimony (mine production, metal production)",tonnes (metal content),-73.033826,Ores and concentrates (metal content),,-13.197341,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,317,,Mine production of antimony,821,317,a
-6.587161,31.846552,Production,"antimony, mine",,,1974-01-01 00:00:00,Morocco,,A,MA,Antimony,Normal value,MAR,"Antimony (mine production, metal production)",tonnes (metal content),-6.587161,Ores and concentrates (metal content),,31.846552,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,1780,,Mine production of antimony,821,1780,
128.0,36.0,Production,"antimony, mine",,,1974-01-01 00:00:00,Korea (Rep. of),,A,KR,Antimony,Normal value,KOR,"Antimony (mine production, metal production)",tonnes (metal content),128.000000,Ores and concentrates (metal content),,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,8,,Mine production of antimony,821,8,
29.851884,-19.002536,Production,"antimony, mine",,Estimates.,1974-01-01 00:00:00,Rhodesia,,A,,Antimony,Normal value,,"Antimony (mine production, metal production)",tonnes (metal content),,Ores and concentrates (metal content),,,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,300,,Mine production of antimony,821,300,*
71.28184499999999,30.792002999999998,Production,"antimony, mine",,Estimates.,1974-01-01 00:00:00,Pakistan,,A,PK,Antimony,Normal value,PAK,"Antimony (mine production, metal production)",tonnes (metal content),71.281845,Ores and concentrates (metal content),,30.792003,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,33,,Mine production of antimony,821,33,*
-86.625162,14.818427999999999,Production,"antimony, mine",,,1974-01-01 00:00:00,Honduras,,A,HN,Antimony,Normal value,HND,"Antimony (mine production, metal production)",tonnes (metal content),-86.625162,Ores and concentrates (metal content),,14.818428,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,80,,Mine production of antimony,821,80,
14.130671999999999,47.585656,Production,"antimony, mine",,,1974-01-01 00:00:00,Austria,,A,AT,Antimony,Normal value,AUT,"Antimony (mine production, metal production)",tonnes (metal content),14.130672,Ores and concentrates (metal content),,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,540,,Mine production of antimony,821,540,
109.537431,32.216659,Production,"antimony, mine",,Estimates.,1974-01-01 00:00:00,China,,A,CN,Antimony,Normal value,CHN,"Antimony (mine production, metal production)",tonnes (metal content),109.537431,Ores and concentrates (metal content),,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,12000,,Mine production of antimony,821,12000,*
-97.834383,39.139831,Production,"antimony, mine",,,1974-01-01 00:00:00,USA,,A,US,Antimony,Normal value,USA,"Antimony (mine production, metal production)",tonnes (metal content),-97.834383,Ores and concentrates (metal content),,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,600,,Mine production of antimony,821,600,
100.982474,15.485660999999999,Production,"antimony, mine",,,1974-01-01 00:00:00,Thailand,,A,TH,Antimony,Normal value,THA,"Antimony (mine production, metal production)",tonnes (metal content),100.982474,Ores and concentrates (metal content),,15.485661,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,5232,,Mine production of antimony,821,5232,
10.612941,45.366552,Production,"antimony, mine",,,1974-01-01 00:00:00,Italy,,A,IT,Antimony,Normal value,ITA,"Antimony (mine production, metal production)",tonnes (metal content),10.612941,Ores and concentrates (metal content),,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,1177,,Mine production of antimony,821,1177,
79.282538,22.642556,Production,"antimony, mine",,,1974-01-01 00:00:00,India,,A,IN,Antimony,Normal value,IND,"Antimony (mine production, metal production)",tonnes (metal content),79.282538,Ores and concentrates (metal content),,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,393,,Mine production of antimony,821,393,
-90.736761,15.240898,Production,"antimony, mine",,,1974-01-01 00:00:00,Guatemala,,A,GT,Antimony,Normal value,GTM,"Antimony (mine production, metal production)",tonnes (metal content),-90.736761,Ores and concentrates (metal content),,15.240898,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,435,,Mine production of antimony,821,435,
10.612941,45.366552,Production,"antimony, mine",,,1975-01-01 00:00:00,Italy,,A,IT,Antimony,Normal value,ITA,"Antimony (mine production, metal production)",tonnes (metal content),10.612941,Ores and concentrates (metal content),,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,1028,,Mine production of antimony,821,1028,
-86.625162,14.818427999999999,Production,"antimony, mine",,,1975-01-01 00:00:00,Honduras,,A,HN,Antimony,Normal value,HND,"Antimony (mine production, metal production)",tonnes (metal content),-86.625162,Ores and concentrates (metal content),,14.818428,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,103,,Mine production of antimony,821,103,
-90.736761,15.240898,Production,"antimony, mine",,,1975-01-01 00:00:00,Guatemala,,A,GT,Antimony,Normal value,GTM,"Antimony (mine production, metal production)",tonnes (metal content),-90.736761,Ores and concentrates (metal content),,15.240898,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,856,,Mine production of antimony,821,856,
14.130671999999999,47.585656,Production,"antimony, mine",,,1975-01-01 00:00:00,Austria,,A,AT,Antimony,Normal value,AUT,"Antimony (mine production, metal production)",tonnes (metal content),14.130672,Ores and concentrates (metal content),,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,555,,Mine production of antimony,821,555,
-97.834383,39.139831,Production,"antimony, mine",,,1975-01-01 00:00:00,USA,,A,US,Antimony,Normal value,USA,"Antimony (mine production, metal production)",tonnes (metal content),-97.834383,Ores and concentrates (metal content),,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,804,,Mine production of antimony,821,804,
109.537431,32.216659,Production,"antimony, mine",,Estimates.,1975-01-01 00:00:00,China,,A,CN,Antimony,Normal value,CHN,"Antimony (mine production, metal production)",tonnes (metal content),109.537431,Ores and concentrates (metal content),,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,12000,,Mine production of antimony,821,12000,*
100.982474,15.485660999999999,Production,"antimony, mine",,,1975-01-01 00:00:00,Thailand,,A,TH,Antimony,Normal value,THA,"Antimony (mine production, metal production)",tonnes (metal content),100.982474,Ores and concentrates (metal content),,15.485661,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,3870,,Mine production of antimony,821,3870,
79.282538,22.642556,Production,"antimony, mine",,,1975-01-01 00:00:00,India,,A,IN,Antimony,Normal value,IND,"Antimony (mine production, metal production)",tonnes (metal content),79.282538,Ores and concentrates (metal content),,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,238,,Mine production of antimony,821,238,
82.51,55.51,Production,"antimony, mine",,Estimates.,1975-01-01 00:00:00,Soviet Union,,A,SU,Antimony,Normal value,SUN,"Antimony (mine production, metal production)",tonnes (metal content),82.510000,Ores and concentrates (metal content),,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,7500,,Mine production of antimony,821,7500,*
20.45,44.816666999999995,Production,"antimony, mine",,,1975-01-01 00:00:00,Yugoslavia,,A,YU,Antimony,Normal value,YUG,"Antimony (mine production, metal production)",tonnes (metal content),20.450000,Ores and concentrates (metal content),,44.816667,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2183,,Mine production of antimony,821,2183,
102.186548,4.029745,Production,"antimony, mine",,,1975-01-01 00:00:00,Malaysia,,A,MY,Antimony,Normal value,MYS,"Antimony (mine production, metal production)",tonnes (metal content),102.186548,Ores and concentrates (metal content),,4.029745,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,352,,Mine production of antimony,821,352,
-101.933344,23.629557,Production,"antimony, mine",,Includes Sb content of antimonial lead.,1975-01-01 00:00:00,Mexico,,A,MX,Antimony,Normal value,MEX,"Antimony (mine production, metal production)",tonnes (metal content),-101.933344,Ores and concentrates (metal content),,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,3137,,Mine production of antimony,821,3137,g
-64.684753,-16.706875999999998,Production,"antimony, mine",,,1975-01-01 00:00:00,Bolivia,,A,BO,Antimony,Normal value,BOL,"Antimony (mine production, metal production)",tonnes (metal content),-64.684753,Ores and concentrates (metal content),,-16.706876,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,13967,,Mine production of antimony,821,13967,
-3.562909,40.389544,Production,"antimony, mine",,,1975-01-01 00:00:00,Spain,,A,ES,Antimony,Normal value,ESP,"Antimony (mine production, metal production)",tonnes (metal content),-3.562909,Ores and concentrates (metal content),,40.389544,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,80,,Mine production of antimony,821,80,
96.111983,21.798486,Production,"antimony, mine",,,1975-01-01 00:00:00,Myanmar,,A,MM,Antimony,Normal value,MMR,"Antimony (mine production, metal production)",tonnes (metal content),96.111983,Ores and concentrates (metal content),,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,278,,Mine production of antimony,821,278,
-119.677633,59.205383999999995,Production,"antimony, mine",,Includes Sb content of antimonial lead alloys.,1975-01-01 00:00:00,Canada,,A,CA,Antimony,Normal value,CAN,"Antimony (mine production, metal production)",tonnes (metal content),-119.677633,Ores and concentrates (metal content),,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2600,,Mine production of antimony,821,2600,f
14.4166,50.083332999999996,Production,"antimony, mine",,,1975-01-01 00:00:00,Czechoslovakia,,A,CS,Antimony,Normal value,CSK,"Antimony (mine production, metal production)",tonnes (metal content),14.416600,Ores and concentrates (metal content),,50.083333,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,724,,Mine production of antimony,821,724,
23.214465999999998,-30.457874999999998,Production,"antimony, mine",,,1975-01-01 00:00:00,South Africa,,A,ZA,Antimony,Normal value,ZAF,"Antimony (mine production, metal production)",tonnes (metal content),23.214466,Ores and concentrates (metal content),,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,15958,,Mine production of antimony,821,15958,
